Age,Experience,Education,Hours,Department,Salary,HighSalary
59,24,12,59,Sales,140981,1
49,17,16,56,HR,126219,1
35,9,18,52,Sales,105084,1
28,2,14,53,Finance,69494,0
41,16,16,49,Sales,119538,1
59,25,14,51,Sales,152370,1
39,15,18,52,Sales,127506,1
43,19,16,52,HR,133830,1
31,1,18,45,Finance,70120,0
31,7,18,52,IT,93970,1
44,1,16,57,Finance,68385,0
56,13,18,37,HR,115373,1
60,3,16,47,Finance,72537,0
44,16,18,48,Finance,131281,1
23,0,12,38,Sales,59848,0
42,3,14,52,Sales,72212,0
22,0,12,39,HR,57132,0
44,11,18,48,Sales,110598,1
50,21,18,59,HR,149637,1
58,7,18,46,IT,93834,1
22,1,12,59,Finance,69729,0
41,5,18,41,IT,86429,1
53,30,16,46,IT,171971,1
32,5,14,42,Finance,81561,1
42,9,18,55,Sales,100490,1
45,11,18,55,IT,112041,1
47,20,14,37,Finance,133972,1
48,9,14,56,IT,96069,1
36,9,14,35,IT,91389,1
35,6,12,37,Finance,79701,0
23,2,12,45,Sales,66141,0
57,31,18,52,HR,184733,1
27,3,14,41,Finance,72955,0
41,9,18,43,HR,104383,1
29,8,18,38,Finance,95742,1
59,33,18,57,Finance,183959,1
38,4,12,58,HR,75077,0
24,3,14,44,HR,71839,0
45,7,18,52,Sales,99714,1
34,6,12,57,Finance,85412,1
29,5,16,50,Finance,81720,1
46,10,16,46,Finance,99929,1
22,1,18,53,Sales,78662,0
40,11,18,58,HR,110592,1
48,17,14,56,Finance,123930,1
27,2,14,37,HR,69305,0
28,1,18,42,Sales,72525,0
55,28,12,53,IT,156800,1
34,8,18,43,HR,100362,1
37,13,14,53,Sales,110292,1
56,2,14,51,IT,70913,0
60,17,12,47,Finance,122375,1
24,3,18,36,Finance,72822,0
22,0,14,38,HR,57217,0
26,5,18,45,IT,86950,1
24,1,14,36,Sales,60139,0
49,26,16,38,Finance,157289,1
38,11,16,38,Finance,104391,1
46,6,16,54,IT,92214,1
54,16,14,35,Sales,117191,1
30,0,12,59,Finance,57142,0
56,25,16,60,Finance,158894,1
34,2,14,45,HR,71502,0
51,27,18,57,Sales,172013,1
35,0,16,36,Finance,58694,0
28,5,12,53,IT,74653,0
34,4,12,42,Finance,67610,0
43,14,12,57,Sales,111957,1
60,30,18,54,HR,177193,1
41,2,18,38,Finance,74035,0
36,0,12,59,IT,64508,0
38,7,12,50,Finance,85497,1
44,11,12,49,IT,101437,1
46,21,18,39,Sales,141033,1
45,24,18,39,HR,149634,1
49,18,14,49,Sales,129362,1
35,8,16,57,Finance,92471,1
21,0,18,51,Finance,73298,0
45,24,12,37,HR,135503,1
27,6,16,52,IT,88202,1
29,0,18,45,Sales,68446,0
44,18,16,60,IT,132673,1
21,0,14,40,Finance,56007,0
28,5,18,46,IT,82967,1
44,7,12,56,Sales,81746,1
31,3,12,60,IT,71466,0
37,4,14,51,Finance,76668,0
28,0,14,48,Sales,62717,0
55,21,14,40,IT,135746,1
55,27,14,44,IT,153729,1
53,22,14,50,Sales,143232,1
25,3,18,52,Finance,82992,1
59,3,18,54,Sales,84890,1
48,14,16,40,Finance,112804,1
27,2,14,53,IT,72279,0
29,4,12,37,Sales,72417,0
28,4,12,46,Finance,67577,0
32,7,14,50,Sales,91527,1
54,1,14,37,IT,66670,0
53,6,14,50,Sales,83489,1
43,16,14,38,IT,116670,1
